               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042129,             0.03133,             0.05867,             0.94228,             0.11922,             0.20551,             0.13717,            0.037319,            0.020494,            0.064443,            0.007624,            0.007624,            0.007624
                  38,            0.041543,            0.030567,            0.058292,             0.94928,                0.12,             0.21575,             0.16084,            0.030774,             0.01924,            0.064419,            0.007558,            0.007558,            0.007558
                  39,            0.040095,            0.028515,            0.058293,             0.95517,             0.13083,             0.23068,              0.1638,            0.035515,            0.020503,            0.064226,            0.007492,            0.007492,            0.007492
                  40,            0.041942,            0.030126,            0.057851,             0.95664,             0.12889,             0.22459,             0.16046,            0.033147,            0.020038,            0.063917,            0.007426,            0.007426,            0.007426
                  41,            0.039037,            0.029442,            0.058122,             0.99487,             0.12628,             0.22861,             0.18419,            0.030028,            0.018532,            0.063662,             0.00736,             0.00736,             0.00736
                  42,            0.039618,            0.029554,            0.057638,             0.95698,             0.13111,             0.23181,             0.18544,             0.03057,            0.019516,            0.063526,            0.007294,            0.007294,            0.007294
                  43,            0.038981,            0.029339,            0.058256,             0.99368,               0.131,             0.24142,             0.18922,            0.032345,            0.019263,             0.06333,            0.007228,            0.007228,            0.007228
                  44,            0.038843,            0.028712,            0.057513,             0.99522,             0.12959,             0.24694,             0.20111,            0.029283,            0.018327,            0.063072,            0.007162,            0.007162,            0.007162
                  45,            0.038318,            0.028019,            0.056835,              0.9917,             0.13333,             0.25292,             0.21225,            0.026991,            0.017459,            0.062726,            0.007096,            0.007096,            0.007096
                  46,            0.038819,            0.028626,            0.057108,             0.96036,             0.14205,             0.25174,             0.19695,            0.031309,            0.018864,            0.062602,             0.00703,             0.00703,             0.00703
                  47,            0.039088,            0.028222,             0.05728,             0.99601,             0.12995,             0.26159,             0.20293,            0.030984,            0.019108,            0.062441,            0.006964,            0.006964,            0.006964
                  48,            0.040123,            0.029138,            0.057338,             0.93495,             0.15167,             0.28027,             0.20685,            0.030647,            0.018857,            0.062301,            0.006898,            0.006898,            0.006898
                  49,            0.037635,            0.027964,            0.057001,              0.9737,             0.14167,              0.2749,             0.22282,            0.029384,             0.01796,            0.062126,            0.006832,            0.006832,            0.006832
                  50,            0.036429,            0.027053,            0.056394,             0.94492,             0.14167,             0.28749,             0.24338,            0.027531,            0.017712,            0.062042,            0.006766,            0.006766,            0.006766
                  51,            0.038014,            0.027299,             0.05594,             0.96573,             0.15184,             0.30088,              0.2563,            0.027114,            0.017665,            0.061743,              0.0067,              0.0067,              0.0067
                  52,            0.038681,            0.028186,            0.056428,             0.95948,             0.15599,              0.3005,              0.2383,            0.029636,            0.018237,            0.061635,            0.006634,            0.006634,            0.006634
                  53,            0.036725,            0.027212,            0.056057,             0.97288,             0.15767,             0.30162,             0.24842,            0.027665,            0.017765,            0.061562,            0.006568,            0.006568,            0.006568
                  54,            0.036791,            0.026575,            0.056089,             0.95223,             0.16167,             0.30399,             0.24271,            0.028114,            0.018124,            0.061661,            0.006502,            0.006502,            0.006502
                  55,            0.038181,            0.028379,            0.055965,             0.96828,             0.17356,             0.32848,              0.2555,            0.029078,             0.01796,            0.061162,            0.006436,            0.006436,            0.006436
                  56,            0.039134,            0.028754,            0.055542,              0.9751,             0.17167,             0.32652,             0.27165,            0.028345,            0.018387,            0.060987,             0.00637,             0.00637,             0.00637
                  57,            0.037054,             0.02818,             0.05579,             0.97294,             0.17558,             0.32516,             0.27939,             0.02891,            0.018619,            0.060858,            0.006304,            0.006304,            0.006304
                  58,            0.036266,             0.02675,            0.055253,             0.97967,             0.18053,             0.32611,             0.28346,            0.026412,            0.016949,            0.060757,            0.006238,            0.006238,            0.006238
                  59,            0.037055,            0.027802,            0.054991,              0.9853,               0.189,             0.33382,             0.28611,             0.02722,            0.017525,            0.060623,            0.006172,            0.006172,            0.006172
                  60,            0.037663,            0.027273,            0.055124,             0.98318,              0.1909,             0.34185,             0.27625,            0.027304,            0.016849,             0.06026,            0.006106,            0.006106,            0.006106
                  61,            0.036402,            0.026485,            0.055035,              0.9844,             0.18794,             0.34376,             0.27018,            0.028536,            0.017277,            0.060139,             0.00604,             0.00604,             0.00604
                  62,            0.036008,             0.02638,             0.05455,             0.99031,             0.18711,             0.35094,             0.27961,             0.02874,            0.017334,              0.0599,            0.005974,            0.005974,            0.005974
                  63,            0.037346,            0.027534,            0.054399,             0.99279,             0.19131,             0.35133,              0.2854,            0.027612,            0.017761,            0.059839,            0.005908,            0.005908,            0.005908
                  64,            0.036347,            0.026936,             0.05422,             0.99307,             0.19274,             0.34331,             0.29333,            0.025392,            0.016752,            0.059759,            0.005842,            0.005842,            0.005842
                  65,            0.037109,            0.026964,            0.054332,             0.98851,             0.19316,             0.35126,             0.29512,             0.02938,            0.018543,            0.059496,            0.005776,            0.005776,            0.005776
                  66,             0.03737,              0.0273,            0.054099,             0.99319,              0.1946,             0.34789,             0.26897,            0.029037,            0.017465,             0.05937,             0.00571,             0.00571,             0.00571
                  67,             0.03749,            0.027051,            0.053982,             0.98986,             0.19136,             0.35413,             0.28174,            0.028665,            0.017514,            0.058941,            0.005644,            0.005644,            0.005644
                  68,            0.036825,            0.026347,            0.054022,             0.98695,             0.19583,             0.35538,             0.26067,            0.032019,            0.018414,            0.058902,            0.005578,            0.005578,            0.005578
                  69,            0.035403,            0.025582,            0.053683,             0.98616,             0.19583,             0.36226,             0.31124,             0.02616,            0.016645,            0.058647,            0.005512,            0.005512,            0.005512
                  70,              0.0354,            0.025973,            0.053485,             0.98216,              0.1973,             0.36631,             0.30487,            0.027833,            0.017771,            0.058644,            0.005446,            0.005446,            0.005446
                  71,            0.035428,            0.026307,             0.05318,             0.96849,             0.21582,             0.37322,              0.3211,            0.026016,            0.017179,            0.058243,             0.00538,             0.00538,             0.00538
                  72,            0.035218,            0.025621,            0.052968,             0.96234,             0.21152,             0.35937,             0.31279,            0.026278,            0.017037,            0.058231,            0.005314,            0.005314,            0.005314
                  73,            0.035286,             0.02596,            0.053223,             0.98352,             0.19167,             0.35985,             0.30683,            0.027102,            0.017171,             0.05793,            0.005248,            0.005248,            0.005248
                  74,            0.035306,            0.026423,            0.052807,             0.99366,             0.19167,              0.3536,             0.28196,             0.02786,            0.017287,            0.057712,            0.005182,            0.005182,            0.005182
                  75,            0.036542,            0.026986,            0.052393,             0.96388,             0.21806,             0.36178,             0.29471,            0.028455,             0.01781,            0.057538,            0.005116,            0.005116,            0.005116
                  76,            0.035881,             0.02745,            0.052087,             0.97658,             0.22222,             0.38237,             0.31046,            0.028423,            0.017421,            0.057368,             0.00505,             0.00505,             0.00505
                  77,            0.034555,            0.024628,             0.05221,             0.98699,             0.22222,             0.39309,             0.30971,            0.029619,            0.018585,            0.057253,            0.004984,            0.004984,            0.004984
                  78,            0.035254,            0.025882,            0.051962,             0.98832,             0.22083,             0.39576,             0.35611,            0.025075,            0.016356,            0.056952,            0.004918,            0.004918,            0.004918
                  79,            0.035853,            0.026196,            0.052356,             0.98246,             0.21409,              0.4084,             0.34109,             0.02649,              0.0164,            0.056699,            0.004852,            0.004852,            0.004852
                  80,            0.035634,            0.025221,            0.052162,             0.98409,             0.21806,             0.40185,             0.36012,            0.025275,            0.016312,            0.056475,            0.004786,            0.004786,            0.004786
                  81,            0.035611,            0.026158,            0.051519,             0.97421,             0.21806,             0.39096,             0.33447,            0.027227,            0.017202,            0.056617,             0.00472,             0.00472,             0.00472
                  82,            0.034916,            0.025927,            0.051196,             0.97228,             0.21806,             0.38929,             0.33234,             0.02725,            0.016862,            0.056518,            0.004654,            0.004654,            0.004654
                  83,            0.033875,            0.024804,            0.050924,              0.9884,             0.21749,             0.39787,             0.34532,            0.026213,            0.016433,            0.056075,            0.004588,            0.004588,            0.004588
                  84,            0.035255,            0.026122,            0.050825,             0.98301,             0.22174,             0.41881,             0.35807,            0.027346,            0.016737,             0.05583,            0.004522,            0.004522,            0.004522
                  85,            0.034276,            0.025554,            0.050946,             0.98019,             0.22222,             0.40729,             0.35316,            0.026732,            0.017096,            0.055696,            0.004456,            0.004456,            0.004456
                  86,            0.034543,            0.025254,            0.050614,             0.98268,             0.23074,             0.41617,             0.36423,            0.025162,            0.016046,            0.055426,             0.00439,             0.00439,             0.00439
                  87,            0.034964,            0.025307,            0.050203,             0.99374,             0.22221,              0.4172,              0.3691,            0.024198,            0.015609,            0.055184,            0.004324,            0.004324,            0.004324
                  88,            0.034787,            0.024891,              0.0506,             0.99116,             0.22888,             0.41985,             0.35546,            0.025703,            0.016342,            0.054942,            0.004258,            0.004258,            0.004258
                  89,            0.033612,            0.025068,            0.050445,             0.99044,             0.23113,             0.41919,             0.34163,            0.026423,            0.016419,            0.054732,            0.004192,            0.004192,            0.004192
