               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086211,            0.058963,            0.082769,            0.015355,             0.70352,            0.045828,            0.015735,            0.064912,            0.036229,            0.077672,           0.0033154,           0.0033154,            0.070161
                   1,            0.070292,            0.044629,            0.069701,             0.98171,            0.048527,            0.087795,            0.041907,            0.058359,            0.027347,            0.069653,           0.0066049,           0.0066049,            0.040117
                   2,            0.061203,            0.040195,            0.065152,             0.97443,             0.07757,             0.12097,            0.066745,            0.048203,            0.024895,            0.066798,           0.0098503,           0.0098503,             0.01003
                   3,            0.052964,            0.036887,            0.062231,             0.96313,            0.081721,             0.14106,             0.10266,            0.036718,            0.020885,            0.064447,            0.009802,            0.009802,            0.009802
                   4,            0.046088,            0.033038,            0.060064,             0.53397,             0.19465,             0.15681,             0.10382,            0.041388,            0.022235,            0.062662,            0.009802,            0.009802,            0.009802
                   5,            0.044088,            0.031799,            0.058411,              0.6532,             0.20377,             0.19409,             0.14247,            0.033883,            0.019907,            0.061018,            0.009736,            0.009736,            0.009736
                   6,            0.042202,            0.030219,            0.056889,             0.96748,             0.14174,             0.23643,             0.18073,            0.031545,            0.019124,            0.058948,             0.00967,             0.00967,             0.00967
                   7,            0.041055,            0.029657,            0.055361,             0.97534,             0.15227,              0.2572,             0.19257,            0.031777,            0.018727,            0.056925,            0.009604,            0.009604,            0.009604
                   8,            0.039982,            0.028974,            0.053631,             0.37368,             0.38345,             0.29876,             0.19847,            0.034608,            0.019161,            0.054597,            0.009538,            0.009538,            0.009538
                   9,            0.039433,            0.028312,            0.052036,             0.38786,             0.42834,             0.31492,               0.255,            0.029401,            0.018174,            0.052531,            0.009472,            0.009472,            0.009472
                  10,            0.039037,            0.028054,            0.050475,             0.37137,             0.48425,             0.33109,               0.258,            0.030751,            0.018445,            0.050635,            0.009406,            0.009406,            0.009406
                  11,            0.038458,            0.027596,            0.048887,             0.33334,             0.55604,             0.36672,             0.28411,            0.030629,            0.017865,            0.048639,             0.00934,             0.00934,             0.00934
                  12,            0.038591,            0.027648,            0.047455,              0.3688,             0.61085,             0.39884,             0.31374,            0.031752,            0.018956,            0.046833,            0.009274,            0.009274,            0.009274
                  13,            0.037233,            0.026092,            0.046046,             0.46451,             0.58276,             0.42808,             0.35441,            0.027995,            0.016813,            0.045381,            0.009208,            0.009208,            0.009208
                  14,            0.037962,            0.026392,            0.044982,             0.53201,             0.59119,             0.46443,             0.37882,            0.028116,            0.016852,            0.043762,            0.009142,            0.009142,            0.009142
                  15,            0.037332,            0.026264,            0.043751,             0.59438,             0.59709,             0.48676,             0.39936,            0.027926,            0.016118,            0.042438,            0.009076,            0.009076,            0.009076
                  16,            0.036543,            0.025995,            0.042828,             0.57553,             0.59363,             0.49722,             0.42315,            0.026743,            0.016067,            0.041481,             0.00901,             0.00901,             0.00901
                  17,             0.03688,            0.025508,            0.041998,             0.61833,             0.60616,             0.52705,             0.43557,            0.028009,            0.016657,            0.040217,            0.008944,            0.008944,            0.008944
                  18,            0.036511,            0.025134,            0.040987,             0.59811,             0.63053,             0.53953,             0.44968,            0.027577,            0.016466,            0.038962,            0.008878,            0.008878,            0.008878
                  19,            0.036143,            0.025318,             0.04001,              0.6009,             0.63261,             0.55756,             0.49516,            0.025538,            0.015585,            0.037816,            0.008812,            0.008812,            0.008812
                  20,            0.036447,            0.025328,            0.039029,             0.60817,             0.63983,             0.56916,             0.47717,            0.027953,            0.016718,             0.03696,            0.008746,            0.008746,            0.008746
